Date,Input 1,Input 2,Share price
42319.0,0.0,0.0,151.487
42320.0,0.0,0.0,154.986
42321.0,0.0,0.0,152.187
42324.0,0.0,0.0,149.087
42325.0,0.0,0.0,151.187
42326.0,0.0,0.0,151.387
42327.0,0.0,0.0,153.087
42328.0,0.0,0.0,155.086
42331.0,0.0,0.0,155.486
42332.0,0.0,0.0,156.086
42333.0,0.0,0.0,156.386
42334.0,0.0,0.0,155.686
42335.0,0.0,0.0,153.187
42338.0,0.0,0.0,154.286
42339.0,0.0,0.0,154.286
42340.0,0.0,0.0,153.687
42341.0,0.0,0.0,154.386
42342.0,0.0,0.0,150.987
42345.0,0.0,0.0,150.887
42346.0,0.0,0.0,149.687
42347.0,0.0,0.0,150.687
42348.0,0.0,0.0,150.387
42349.0,0.0,0.0,147.587
42352.0,0.0,0.0,146.487
42353.0,0.0,0.0,147.487
42354.0,0.0,0.0,151.787
42355.0,0.0,0.0,151.587
42356.0,0.0,0.0,151.287
42359.0,0.0,0.0,150.287
42360.0,0.0,0.0,150.787
42361.0,0.0,0.0,152.187
42362.0,0.0,0.0,151.787
42366.0,0.0,0.0,150.887
42367.0,0.0,0.0,150.787
42368.0,0.0,0.0,150.687
42369.0,0.0,0.0,152.487
42373.0,0.0,0.0,149.087
42374.0,0.0,0.0,147.387
42375.0,0.0,0.0,145.987
42376.0,0.0,0.0,140.188
42377.0,0.0,0.0,142.588
42380.0,0.0,0.0,137.988
42381.0,0.0,0.0,136.088
42382.0,0.0,0.0,137.388
42383.0,0.0,0.0,137.088
42384.0,0.0,0.0,136.988
42387.0,0.0,0.0,135.988
42388.0,0.0,0.0,139.788
42389.0,0.0,0.0,135.388
42390.0,0.0,0.0,133.088
42391.0,0.0,0.0,138.988
42394.0,0.0,0.0,144.287
42395.0,0.0,0.0,141.788
42396.0,0.0,0.0,140.488
42397.0,0.0,0.0,141.588
42398.0,0.0,0.0,144.887
42401.0,0.0,0.0,146.987
42402.0,0.0,0.0,145.587
42403.0,0.0,0.0,141.588
42404.0,0.0,0.0,141.888
42405.0,0.0,0.0,143.887
42411.0,0.0,0.0,135.888
42412.0,0.0,0.0,133.288
42415.0,0.0,0.0,138.188
42416.0,0.0,0.0,139.288
42417.0,0.0,0.0,138.188
42418.0,0.0,0.0,142.288
42419.0,0.0,0.0,141.188
42422.0,0.0,0.0,141.688
42423.0,0.0,0.0,141.888
42424.0,0.0,0.0,140.388
42425.0,0.0,0.0,138.988
42426.0,0.0,0.0,142.687
42429.0,0.0,0.0,141.888
42430.0,0.0,0.0,144.487
42431.0,0.0,0.0,148.287
42432.0,0.0,0.0,147.587
42433.0,0.0,0.0,147.187
42436.0,0.0,0.0,146.487
42437.0,0.0,0.0,146.287
42438.0,0.0,0.0,145.687
42439.0,0.0,0.0,144.987
42440.0,0.0,0.0,148.087
42443.0,0.0,0.0,153.287
42444.0,0.0,0.0,151.287
42445.0,0.0,0.0,150.887
42446.0,0.0,0.0,152.287
42447.0,0.0,0.0,157.886
42450.0,0.0,0.0,158.086
42451.0,0.0,0.0,159.486
42452.0,0.0,0.0,159.686
42453.0,0.0,0.0,158.786
42458.0,0.0,0.0,157.286
42459.0,0.0,0.0,158.186
42460.0,0.0,0.0,158.386
42461.0,0.0,0.0,158.486
42465.0,0.0,0.0,156.586
42466.0,0.0,0.0,158.986
42467.0,0.0,0.0,161.786
42468.0,0.0,0.0,159.986
42471.0,0.0,0.0,159.486
42472.0,0.0,0.0,159.986
42473.0,0.0,0.0,164.486
42474.0,0.0,0.0,164.986
42475.0,0.0,0.0,165.286
42478.0,0.0,0.0,165.685
42479.0,0.0,0.0,165.685
42480.0,0.0,0.0,161.886
42481.0,0.0,0.0,163.486
42482.0,0.0,0.0,162.786
42485.0,0.0,0.0,159.886
42486.0,0.0,0.0,161.786
